(2390.7,3209.0)
(2393.0,3215.85)
(2392.9,3207.0)
(2397.85,3230.0)
(2387.3,3217.0)
(2405.25,3245.5)
(2421.55,3201.15)
(2396.4,3211.4)
(2392.5,3211.65)
(2422.05,3208.85)
(2392.1,3215.75)
(2415.15,3200.0)
(2400.75,3238.5)
(2422.05,3209.0)
(2436.1,3220.9)
(2438.7,3222.4)
(2423.95,3200.0)
(2414.1,3211.3)
(2390.8,3217.55)
(2397.85,3219.0)
(2391.25,3212.8)
(2395.0,3225.3)
(2400.85,3228.2)
(2412.55,3212.95)
(2385.0,3219.0)
(2400.95,3218.05)
(2392.1,3213.4)
(2402.75,3217.0)
(2428.65,3218.05)
(2393.55,3214.55)
(2401.6,3215.3)
(2403.75,3233.85)
(2387.5,3203.6)
(2387.05,3218.0)
(2386.5,3218.45)
(2406.1,3212.0)
(2397.0,3210.3)
(2413.45,3195.1)
(2388.05,3217.15)
(2413.5,3238.0)
(2395.15,3215.0)
(2403.05,3235.45)
(2418.95,3200.8)
(2390.75,3211.0)
(2385.0,3220.5)
(2421.45,3202.0)
(2402.6,3230.1)
(2414.55,3205.95)
(2396.8,3232.9)
(2395.0,3213.5)
(2395.65,3223.75)
(2385.55,3219.05)
(2394.05,3216.5)
(2404.65,3218.05)
(2400.0,3225.0)
(2397.0,3217.25)
(2392.0,3202.25)
(2388.75,3215.75)
(2416.9,3200.0)
(2388.7,3210.8)
(2430.0,3224.8)
(2392.5,3213.2)
(2389.55,3216.5)
(2389.0,3220.0)
(2390.75,3221.05)
(2421.8,3211.05)
(2399.9,3215.0)
(2394.5,3216.0)
(2401.4,3231.8)
(2402.0,3230.85)
(2391.45,3213.6)
(2414.25,3193.65)
(2430.0,3217.25)
(2406.5,3226.4)
(2393.65,3207.0)
(2406.5,3241.95)
(2401.6,3215.3)
(2405.75,3232.25)
(2413.45,3209.6)
(2422.0,3211.1)
(2391.4,3213.6)
(2401.95,3231.0)
(2391.05,3218.8)
(2400.7,3217.3)
(2414.25,3200.45)
(2421.5,3210.7)
(2391.5,3211.35)
(2395.55,3214.7)
(2386.75,3220.55)
(2400.9,3231.0)
(2401.0,3229.0)
(2392.85,3214.6)
(2386.5,3209.0)
(2396.0,3214.4)
