(2393.0,5799251)
(2394.9,5805192)
(2392.25,5813599)
(2392.9,5821322)
(2392.3,5827934)
(2391.5,5834356)
(2391.5,5839848)
(2392.7,5844733)
(2390.8,5849780)
(2386.65,5855285)
(2387.05,5860244)
(2387.25,5865621)
(2386.15,5872043)
(2383.1,5879092)
(2386.35,5886296)
(2387.75,5891458)
(2388.75,5896488)
(2390.95,5901834)
(2391.0,5906566)
(2388.55,5911462)
(2389.25,5917050)
(2390.7,5921645)
(2390.95,5925915)
(2389.4,5930715)
(2391.0,5935636)
(2391.5,5940967)
(2391.8,5944587)
(2391.5,5949309)
(2393.0,5953992)
(2392.0,5958206)
(2392.5,5963035)
(2392.8,5967023)
(2392.5,5971010)
(2390.0,5976085)
(2390.5,5979034)
(2390.5,5983871)
(2390.5,5988766)
(2390.1,5994575)
(2390.3,5998902)
(2390.95,6003833)
(2389.55,6008822)
(2390.0,6015346)
(2390.55,6019557)
(2390.05,6023351)
(2390.0,6028135)
(2389.6,6032856)
(2389.8,6036683)
(2390.0,6042018)
(2390.0,6046236)
(2388.35,6050834)
(2387.35,6055625)
(2387.85,6059688)
(2388.55,6064090)
(2388.05,6068927)
(2388.8,6074080)
(2387.7,6078159)
(2388.05,6082612)
(2388.5,6086969)
(2390.6,6091211)
(2392.45,6095609)
(2392.75,6100785)
(2396.05,6105727)
(2397.8,6110798)
(2396.55,6116778)
(2395.65,6122554)
(2393.2,6127889)
(2394.3,6132230)
(2392.45,6138438)
(2392.05,6143220)
(2392.55,6148002)
(2392.95,6152371)
(2392.35,6157105)
(2395.0,6161917)
(2395.55,6166342)
(2394.25,6171644)
(2393.15,6178144)
(2390.85,6183730)
(2390.1,6188405)
(2390.1,6193618)
(2393.0,6198261)
(2387.6,6204480)
(2388.55,6209270)
(2389.0,6214523)
(2386.5,6219529)
(2386.5,6224110)
(2385.05,6229597)
(2384.05,6234592)
(2384.05,6240340)
(2386.5,6246031)
(2384.05,6252103)
(2384.5,6259725)
(2384.5,6266020)
(2385.05,6271876)
(2384.3,6276847)
(2385.05,6281671)
(2387.65,6285725)
(2387.05,6291202)
(2387.7,6296561)
(2387.95,6301653)
(2386.55,6307935)
(2385.25,6313540)
(2387.15,6322039)
(2387.8,6327924)
(2387.0,6333323)
(2387.35,6338223)
(2386.75,6343335)
(2387.65,6349329)
(2388.25,6353690)
(2388.5,6358469)
(2388.0,6365837)
(2385.55,6371466)
(2386.5,6376657)
(2385.55,6381699)
(2385.05,6387831)
(2386.55,6394181)
(2386.65,6400194)
